Migration Rate,Corridor Width,1L2T - Invasion
0.02,0.02,0
0.02,0.01,0
0.02,0.04,0
0.02,0.03,0
0.02,0.06,0
0.02,0.05,0
0.02,0.08,0
0.02,0.07,0
0.02,0.1,0
0.02,0.09,0
0.02,0.12,0
0.02,0.11,0
0.02,0.14,0
0.02,0.13,0
0.02,0.16,0
0.02,0.15,0
0.02,0.18,0
0.02,0.17,0
0.02,0.2,0
0.02,0.19,0
0.025,0.02,0
0.025,0.01,0
0.025,0.04,0
0.025,0.03,0
0.025,0.06,0
0.025,0.05,0
0.025,0.08,0
0.025,0.07,0
0.025,0.1,0
0.025,0.09,0
0.025,0.12,0
0.025,0.11,0
0.025,0.14,0
0.025,0.13,0
0.025,0.16,0
0.025,0.15,0
0.025,0.18,0
0.025,0.17,0
0.025,0.2,0
0.025,0.19,0
0.03,0.02,0
0.03,0.01,0
0.03,0.04,0
0.03,0.03,0
0.03,0.06,0
0.03,0.05,0
0.03,0.08,0
0.03,0.07,0
0.03,0.1,0
0.03,0.09,0
0.03,0.12,0
0.03,0.11,0
0.03,0.14,0
0.03,0.13,0
0.03,0.16,0
0.03,0.15,0
0.03,0.18,0
0.03,0.17,0
0.03,0.2,0
0.03,0.19,0
0.035,0.02,0
0.035,0.01,0
0.035,0.04,0
0.035,0.03,0
0.035,0.06,0
0.035,0.05,0
0.035,0.08,0
0.035,0.07,0
0.035,0.1,0
0.035,0.09,0
0.035,0.12,0
0.035,0.11,0
0.035,0.14,0
0.035,0.13,0
0.035,0.16,0
0.035,0.15,0
0.035,0.18,0
0.035,0.17,0
0.035,0.2,0
0.035,0.19,0
0.04,0.02,0
0.04,0.01,0
0.04,0.04,0
0.04,0.03,0
0.04,0.06,0
0.04,0.05,0
0.04,0.08,0
0.04,0.07,0
0.04,0.1,0
0.04,0.09,0
0.04,0.12,0
0.04,0.11,0
0.04,0.14,0
0.04,0.13,0
0.04,0.16,0
0.04,0.15,0
0.04,0.18,0
0.04,0.17,0
0.04,0.2,0
0.04,0.19,0
0.045,0.02,1.75E-05
0.045,0.01,0
0.045,0.04,0
0.045,0.03,1.73E-05
0.045,0.06,0
0.045,0.05,0
0.045,0.08,0
0.045,0.07,0
0.045,0.1,0
0.045,0.09,0
0.045,0.12,0
0.045,0.11,0
0.045,0.14,0
0.045,0.13,0
0.045,0.16,0
0.045,0.15,0
0.045,0.18,0
0.045,0.17,0
0.045,0.2,0
0.045,0.19,0
0.05,0.02,0
0.05,0.01,1.78E-05
0.05,0.04,0
0.05,0.03,0
0.05,0.06,0
0.05,0.05,0
0.05,0.08,0
0.05,0.07,0
0.05,0.1,0
0.05,0.09,0
0.05,0.12,0
0.05,0.11,0
0.05,0.14,0
0.05,0.13,0
0.05,0.16,0
0.05,0.15,0
0.05,0.18,0
0.05,0.17,0
0.05,0.2,0
0.05,0.19,0
0.055,0.02,0
0.055,0.01,1.75E-05
0.055,0.04,0
0.055,0.03,1.75E-05
0.055,0.06,0
0.055,0.05,0
0.055,0.08,0
0.055,0.07,0
0.055,0.1,0
0.055,0.09,0
0.055,0.12,0
0.055,0.11,0
0.055,0.14,0
0.055,0.13,0
0.055,0.16,0
0.055,0.15,0
0.055,0.18,0
0.055,0.17,0
0.055,0.2,0
0.055,0.19,0
0.06,0.02,0
0.06,0.01,1.76E-05
0.06,0.04,0
0.06,0.03,1.71E-05
0.06,0.06,0
0.06,0.05,0
0.06,0.08,0
0.06,0.07,0
0.06,0.1,0
0.06,0.09,0
0.06,0.12,0
0.06,0.11,0
0.06,0.14,0
0.06,0.13,0
0.06,0.16,0
0.06,0.15,0
0.06,0.18,0
0.06,0.17,0
0.06,0.2,0
0.06,0.19,0
0.065,0.02,1.73E-05
0.065,0.01,0
0.065,0.04,0
0.065,0.03,1.73E-05
0.065,0.06,0
0.065,0.05,0
0.065,0.08,0
0.065,0.07,0
0.065,0.1,0
0.065,0.09,0
0.065,0.12,0
0.065,0.11,0
0.065,0.14,0
0.065,0.13,0
0.065,0.16,0
0.065,0.15,0
0.065,0.18,0
0.065,0.17,0
0.065,0.2,0
0.065,0.19,0
0.07,0.02,1.76E-05
0.07,0.01,3.50E-05
0.07,0.04,1.70E-05
0.07,0.03,3.47E-05
0.07,0.06,0
0.07,0.05,0
0.07,0.08,0
0.07,0.07,0
0.07,0.1,0
0.07,0.09,0
0.07,0.12,0
0.07,0.11,0
0.07,0.14,0
0.07,0.13,0
0.07,0.16,0
0.07,0.15,0
0.07,0.18,0
0.07,0.17,0
0.07,0.2,0
0.07,0.19,0
0.075,0.02,0.000105433
0.075,0.01,0
0.075,0.04,1.72E-05
0.075,0.03,3.45E-05
0.075,0.06,0
0.075,0.05,0
0.075,0.08,0
0.075,0.07,0
0.075,0.1,0
0.075,0.09,0
0.075,0.12,0
0.075,0.11,0
0.075,0.14,0
0.075,0.13,0
0.075,0.16,0
0.075,0.15,0
0.075,0.18,0
0.075,0.17,0
0.075,0.2,0
0.075,0.19,0
0.08,0.02,0.000105272
0.08,0.01,5.32E-05
0.08,0.04,6.89E-05
0.08,0.03,3.49E-05
0.08,0.06,0
0.08,0.05,0
0.08,0.08,0
0.08,0.07,0
0.08,0.1,0
0.08,0.09,0
0.08,0.12,0
0.08,0.11,0
0.08,0.14,0
0.08,0.13,0
0.08,0.16,0
0.08,0.15,0
0.08,0.18,0
0.08,0.17,0
0.08,0.2,0
0.08,0.19,0
0.085,0.02,0.000263363
0.085,0.01,3.57E-05
0.085,0.04,0.000103236
0.085,0.03,0.000103305
0.085,0.06,0
0.085,0.05,1.66E-05
0.085,0.08,0
0.085,0.07,0
0.085,0.1,0
0.085,0.09,0
0.085,0.12,0
0.085,0.11,0
0.085,0.14,0
0.085,0.13,0
0.085,0.16,0
0.085,0.15,0
0.085,0.18,0
0.085,0.17,0
0.085,0.2,0
0.085,0.19,0
0.09,0.02,5.27E-05
0.09,0.01,3.55E-05
0.09,0.04,0.000138021
0.09,0.03,0.00017299
0.09,0.06,0
0.09,0.05,5.05E-05
0.09,0.08,0
0.09,0.07,0
0.09,0.1,0
0.09,0.09,0
0.09,0.12,0
0.09,0.11,0
0.09,0.14,0
0.09,0.13,0
0.09,0.16,0
0.09,0.15,0
0.09,0.18,0
0.09,0.17,0
0.09,0.2,0
0.09,0.19,0
0.095,0.02,0.000246306
0.095,0.01,0.000107099
0.095,0.04,0.000188932
0.095,0.03,0.000190585
0.095,0.06,0
0.095,0.05,0.000101561
0.095,0.08,0
0.095,0.07,0
0.095,0.1,0
0.095,0.09,0
0.095,0.12,0
0.095,0.11,0
0.095,0.14,0
0.095,0.13,0
0.095,0.16,0
