Fitness,Relative Center Density,1L2T - Persistance
0.6,1,0
0.6,1.25,0
0.6,1.5,0
0.6,1.75,0
0.6,2,0
0.6,2.25,0
0.6,2.5,0
0.6,2.75,0
0.6,3,0
0.6,3.25,0
0.6,3.5,0
0.6,3.75,0
0.6,4,0
0.6,4.25,0
0.6,4.5,0
0.6,4.75,0
0.6,5,0
0.6,5.25,0
0.6,5.5,0
0.6,5.75,0
0.6,6,0
0.62,1,0
0.62,1.25,0
0.62,1.5,0
0.62,1.75,0
0.62,2,0
0.62,2.25,0
0.62,2.5,0
0.62,2.75,0
0.62,3,0
0.62,3.25,0
0.62,3.5,0
0.62,3.75,0
0.62,4,0
0.62,4.25,0
0.62,4.5,0
0.62,4.75,0
0.62,5,0
0.62,5.25,0
0.62,5.5,0
0.62,5.75,0
0.62,6,0
0.64,1,0
0.64,1.25,0
0.64,1.5,0
0.64,1.75,0
0.64,2,0
0.64,2.25,0
0.64,2.5,0
0.64,2.75,0
0.64,3,0
0.64,3.25,0
0.64,3.5,0
0.64,3.75,0
0.64,4,0
0.64,4.25,0
0.64,4.5,0
0.64,4.75,0
0.64,5,0
0.64,5.25,0
0.64,5.5,0
0.64,5.75,0
0.64,6,0
0.66,1,0
0.66,1.25,0
0.66,1.5,0
0.66,1.75,0
0.66,2,0
0.66,2.25,0
0.66,2.5,0
0.66,2.75,0
0.66,3,0
0.66,3.25,0
0.66,3.5,0
0.66,3.75,0
0.66,4,0
0.66,4.25,0
0.66,4.5,0
0.66,4.75,0
0.66,5,0
0.66,5.25,0
0.66,5.5,0
0.66,5.75,0
0.66,6,0
0.68,1,0
0.68,1.25,0
0.68,1.5,0
0.68,1.75,0
0.68,2,0
0.68,2.25,0
0.68,2.5,0
0.68,2.75,0
0.68,3,0
0.68,3.25,0
0.68,3.5,0
0.68,3.75,0
0.68,4,0
0.68,4.25,0
0.68,4.5,0
0.68,4.75,0
0.68,5,0
0.68,5.25,0
0.68,5.5,0
0.68,5.75,0
0.68,6,0
0.7,1,0
0.7,1.25,0
0.7,1.5,0
0.7,1.75,0
0.7,2,0
0.7,2.25,0
0.7,2.5,0
0.7,2.75,0
0.7,3,0
0.7,3.25,0
0.7,3.5,0
0.7,3.75,0
0.7,4,0
0.7,4.25,0
0.7,4.5,0
0.7,4.75,0
0.7,5,0
0.7,5.25,0
0.7,5.5,0
0.7,5.75,0
0.7,6,0
0.72,1,0
0.72,1.25,0
0.72,1.5,0
0.72,1.75,0
0.72,2,0
0.72,2.25,0
0.72,2.5,0
0.72,2.75,0
0.72,3,0
0.72,3.25,0
0.72,3.5,0
0.72,3.75,0
0.72,4,0
0.72,4.25,0
0.72,4.5,0
0.72,4.75,0
0.72,5,0
0.72,5.25,0
0.72,5.5,0
0.72,5.75,0
0.72,6,0
0.74,1,0
0.74,1.25,0
0.74,1.5,0
0.74,1.75,0
0.74,2,0
0.74,2.25,0
0.74,2.5,0
0.74,2.75,0
0.74,3,0
0.74,3.25,0
0.74,3.5,0
0.74,3.75,0
0.74,4,0
0.74,4.25,0
0.74,4.5,0
0.74,4.75,0
0.74,5,0
0.74,5.25,0
0.74,5.5,0
0.74,5.75,0
0.74,6,0
0.76,1,0
0.76,1.25,0
0.76,1.5,0
0.76,1.75,0
0.76,2,0
0.76,2.25,0
0.76,2.5,0
0.76,2.75,0
0.76,3,0
0.76,3.25,0
0.76,3.5,0
0.76,3.75,0
0.76,4,0
0.76,4.25,0
0.76,4.5,0
0.76,4.75,0
0.76,5,0
0.76,5.25,0
0.76,5.5,0
0.76,5.75,0
0.76,6,0
0.78,1,0
0.78,1.25,0
0.78,1.5,0
0.78,1.75,0
0.78,2,0
0.78,2.25,0
0.78,2.5,0
0.78,2.75,0
0.78,3,0
0.78,3.25,0
0.78,3.5,0
0.78,3.75,0
0.78,4,0
0.78,4.25,0
0.78,4.5,0
0.78,4.75,0
0.78,5,0
0.78,5.25,0
0.78,5.5,0
0.78,5.75,0
0.78,6,0
0.8,1,0
0.8,1.25,0
0.8,1.5,0
0.8,1.75,0
0.8,2,0
0.8,2.25,0
0.8,2.5,0
0.8,2.75,0
0.8,3,0
0.8,3.25,0
0.8,3.5,0
0.8,3.75,0
0.8,4,0
0.8,4.25,0
0.8,4.5,0
0.8,4.75,0
0.8,5,0
0.8,5.25,0
0.8,5.5,0
0.8,5.75,0
0.8,6,0
0.82,1,0
0.82,1.25,0
0.82,1.5,0
0.82,1.75,0
0.82,2,0
0.82,2.25,0
0.82,2.5,0
0.82,2.75,0
0.82,3,0
0.82,3.25,0
0.82,3.5,0
0.82,3.75,0
0.82,4,0
0.82,4.25,0
0.82,4.5,0
0.82,4.75,0
0.82,5,0
0.82,5.25,0
0.82,5.5,0
0.82,5.75,0
0.82,6,0
0.84,1,0
0.84,1.25,0
0.84,1.5,0
0.84,1.75,0
0.84,2,0
0.84,2.25,0
0.84,2.5,0
0.84,2.75,0
0.84,3,0
0.84,3.25,0
0.84,3.5,0
0.84,3.75,0
0.84,4,0
0.84,4.25,0
0.84,4.5,0
0.84,4.75,0
0.84,5,0
0.84,5.25,0
0.84,5.5,0
0.84,5.75,0
0.84,6,0
0.86,1,0
0.86,1.25,0
0.86,1.5,0
0.86,1.75,0
0.86,2,0
0.86,2.25,0
0.86,2.5,0
0.86,2.75,0
0.86,3,0
0.86,3.25,0
0.86,3.5,0
0.86,3.75,0
0.86,4,0
0.86,4.25,0
0.86,4.5,0
0.86,4.75,0
0.86,5,0
0.86,5.25,0
0.86,5.5,0
0.86,5.75,0
0.86,6,0
0.88,1,0
0.88,1.25,0
0.88,1.5,0
0.88,1.75,0
0.88,2,0
0.88,2.25,0
0.88,2.5,0
0.88,2.75,0
0.88,3,0
0.88,3.25,0
0.88,3.5,0
0.88,3.75,0
0.88,4,0
0.88,4.25,0
0.88,4.5,0
0.88,4.75,0
0.88,5,0
0.88,5.25,0
0.88,5.5,0
0.88,5.75,0
0.88,6,0
0.9,1,0
0.9,1.25,0
0.9,1.5,0
0.9,1.75,0
0.9,2,0
0.9,2.25,0
0.9,2.5,0
0.9,2.75,0
0.9,3,0
0.9,3.25,0
0.9,3.5,0
0.9,3.75,0
0.9,4,0
0.9,4.25,0
0.9,4.5,0
0.9,4.75,0
0.9,5,0
0.9,5.25,0
0.9,5.5,0
0.9,5.75,0
0.9,6,0
0.92,1,0
0.92,1.25,0
0.92,1.5,0
0.92,1.75,0
0.92,2,0
0.92,2.25,0
0.92,2.5,0
0.92,2.75,0
0.92,3,0
0.92,3.25,0
0.92,3.5,0
0.92,3.75,0
0.92,4,0
0.92,4.25,0
0.92,4.5,0
0.92,4.75,0
0.92,5,0
0.92,5.25,0
0.92,5.5,0
0.92,5.75,0
0.92,6,0
0.94,1,0
0.94,1.25,0
0.94,1.5,0
0.94,1.75,0
0.94,2,0
0.94,2.25,0
0.94,2.5,0
0.94,2.75,0
0.94,3,0
0.94,3.25,0
0.94,3.5,0
0.94,3.75,0
0.94,4,0
0.94,4.25,0
0.94,4.5,0
0.94,4.75,0
0.94,5,0
0.94,5.25,0
0.94,5.5,0
0.94,5.75,0.20298705
0.94,6,0.29456883
0.96,1,0
0.96,1.25,0
0.96,1.5,0
0.96,1.75,0
0.96,2,0
0.96,2.25,0
0.96,2.5,0
0.96,2.75,0
0.96,3,0
0.96,3.25,0
0.96,3.5,0
0.96,3.75,0
0.96,4,0
0.96,4.25,0
0.96,4.5,0
0.96,4.75,0
0.96,5,0
0.96,5.25,0.099841935
0.96,5.5,0.02108802
0.96,5.75,0.336391922
0.96,6,0.790588782
0.98,1,0
0.98,1.25,0
0.98,1.5,0
0.98,1.75,0
0.98,2,0
0.98,2.25,0
0.98,2.5,0
0.98,2.75,0
0.98,3,0
0.98,3.25,0
0.98,3.5,0
0.98,3.75,0
0.98,4,0
0.98,4.25,0
0.98,4.5,0
0.98,4.75,0.01914141
0.98,5,0.03551264
0.98,5.25,0.6248012
0.98,5.5,0.640382136
0.98,5.75,0.983332
0.98,6,0.9846774
1,1,0
1,1.25,0
1,1.5,0
1,1.75,0
1,2,0
1,2.25,0
1,2.5,0
1,2.75,0
1,3,0
1,3.25,0
1,3.5,0
1,3.75,0
1,4,0
1,4.25,0
1,4.5,0.0976812
1,4.75,0.18750891
1,5,0.65707339
1,5.25,0.8946234
1,5.5,0.9338467
1,5.75,0.8724522
1,6,0.9863436
